** sch_path: /home/sushanth/desktop/highspeedscanflop/muxfbff/datamodefall/muxfbff_tb_datamode_fall.sch
Transient Analysis  Wed Apr  8 23:31:19  2026
--------------------------------------------------------------------------------
Index   time            v(c)            v(din)          v(q)            
--------------------------------------------------------------------------------
0	0.000000e+00	1.800000e+00	0.000000e+00	8.361110e-01	
1	1.000000e-14	1.800000e+00	3.600000e-04	8.361110e-01	
2	2.000000e-14	1.800000e+00	7.200000e-04	8.361110e-01	
3	4.000000e-14	1.800000e+00	1.440000e-03	8.361110e-01	
4	8.000000e-14	1.800000e+00	2.880000e-03	8.361110e-01	
5	1.600000e-13	1.800000e+00	5.760000e-03	8.361110e-01	
6	3.200000e-13	1.800000e+00	1.152000e-02	8.361110e-01	
7	6.400000e-13	1.800000e+00	2.304000e-02	8.361110e-01	
8	1.280000e-12	1.800000e+00	4.608000e-02	8.361110e-01	
9	2.280000e-12	1.800000e+00	8.208000e-02	8.361110e-01	
10	3.280000e-12	1.800000e+00	1.180800e-01	8.361110e-01	
11	4.280000e-12	1.800000e+00	1.540800e-01	8.361110e-01	
12	5.280000e-12	1.800000e+00	1.900800e-01	8.361110e-01	
13	6.280000e-12	1.800000e+00	2.260800e-01	8.361110e-01	
14	7.280000e-12	1.800000e+00	2.620800e-01	8.361110e-01	
15	8.280000e-12	1.800000e+00	2.980800e-01	8.361110e-01	
16	9.280000e-12	1.800000e+00	3.340800e-01	8.361110e-01	
17	1.028000e-11	1.800000e+00	3.700800e-01	8.361110e-01	
18	1.128000e-11	1.800000e+00	4.060800e-01	8.361110e-01	
19	1.228000e-11	1.800000e+00	4.420800e-01	8.361110e-01	
20	1.328000e-11	1.800000e+00	4.780800e-01	8.361110e-01	
21	1.428000e-11	1.800000e+00	5.140800e-01	8.361110e-01	
22	1.528000e-11	1.800000e+00	5.500800e-01	8.361110e-01	
23	1.628000e-11	1.800000e+00	5.860800e-01	8.361110e-01	
24	1.728000e-11	1.800000e+00	6.220800e-01	8.361110e-01	
25	1.828000e-11	1.800000e+00	6.580800e-01	8.361110e-01	
26	1.928000e-11	1.800000e+00	6.940800e-01	8.361109e-01	
27	2.028000e-11	1.800000e+00	7.300800e-01	8.361109e-01	
28	2.128000e-11	1.800000e+00	7.660800e-01	8.361109e-01	
29	2.228000e-11	1.800000e+00	8.020800e-01	8.361109e-01	
30	2.328000e-11	1.800000e+00	8.380800e-01	8.361109e-01	
31	2.428000e-11	1.800000e+00	8.740800e-01	8.361109e-01	
32	2.528000e-11	1.800000e+00	9.100800e-01	8.361109e-01	
33	2.628000e-11	1.800000e+00	9.460800e-01	8.361109e-01	
34	2.728000e-11	1.800000e+00	9.820800e-01	8.361109e-01	
35	2.828000e-11	1.800000e+00	1.018080e+00	8.361110e-01	
36	2.928000e-11	1.800000e+00	1.054080e+00	8.361110e-01	
37	3.028000e-11	1.800000e+00	1.090080e+00	8.361111e-01	
38	3.128000e-11	1.800000e+00	1.126080e+00	8.361113e-01	
39	3.228000e-11	1.800000e+00	1.162080e+00	8.361115e-01	
40	3.328000e-11	1.800000e+00	1.198080e+00	8.361117e-01	
41	3.428000e-11	1.800000e+00	1.234080e+00	8.361120e-01	
42	3.528000e-11	1.800000e+00	1.270080e+00	8.361124e-01	
43	3.628000e-11	1.800000e+00	1.306080e+00	8.361129e-01	
44	3.728000e-11	1.800000e+00	1.342080e+00	8.361135e-01	
45	3.828000e-11	1.800000e+00	1.378080e+00	8.361142e-01	
46	3.928000e-11	1.800000e+00	1.414080e+00	8.361151e-01	
47	4.028000e-11	1.800000e+00	1.450080e+00	8.361161e-01	
48	4.128000e-11	1.800000e+00	1.486080e+00	8.361173e-01	
49	4.228000e-11	1.800000e+00	1.522080e+00	8.361186e-01	
50	4.328000e-11	1.800000e+00	1.558080e+00	8.361202e-01	
51	4.428000e-11	1.800000e+00	1.594080e+00	8.361220e-01	
52	4.528000e-11	1.800000e+00	1.630080e+00	8.361240e-01	
53	4.628000e-11	1.800000e+00	1.666080e+00	8.361262e-01	
54	4.728000e-11	1.800000e+00	1.702080e+00	8.361287e-01	

Index   time            v(c)            v(din)          v(q)            
--------------------------------------------------------------------------------
55	4.828000e-11	1.800000e+00	1.738080e+00	8.361314e-01	
56	4.914000e-11	1.800000e+00	1.769040e+00	8.361339e-01	
57	5.000000e-11	1.800000e+00	1.800000e+00	8.361366e-01	
58	5.010000e-11	1.800000e+00	1.800000e+00	8.361369e-01	
59	5.030000e-11	1.800000e+00	1.800000e+00	8.361376e-01	
60	5.070000e-11	1.800000e+00	1.800000e+00	8.361389e-01	
61	5.150000e-11	1.800000e+00	1.800000e+00	8.361417e-01	
62	5.250000e-11	1.800000e+00	1.800000e+00	8.361454e-01	
63	5.350000e-11	1.800000e+00	1.800000e+00	8.361494e-01	
64	5.450000e-11	1.800000e+00	1.800000e+00	8.361536e-01	
65	5.550000e-11	1.800000e+00	1.800000e+00	8.361580e-01	
66	5.650000e-11	1.800000e+00	1.800000e+00	8.361626e-01	
67	5.750000e-11	1.800000e+00	1.800000e+00	8.361675e-01	
68	5.850000e-11	1.800000e+00	1.800000e+00	8.361725e-01	
69	5.950000e-11	1.800000e+00	1.800000e+00	8.361778e-01	
70	6.050000e-11	1.800000e+00	1.800000e+00	8.361832e-01	
